id_number	mz	rtime	empCpd	neutral_formula	ion_relation	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F1	83.0603	170.72	_singleton_1626	C4H6N2		168.8	175.35	0	68233281	1.0	0.89	5	8	11999810	13963539	13572898	12448054	11857819	11774404	10883477	10342329
F3	84.0444	173.81	kp1_83.0371		M0,M+H+	169.18	178.44	1	223323080	1.0	0.9	54	8	5537018	57663278	52570450	47681862	43934538	5592467	5494101	5333602
F4	84.0444	196.35	kp2_83.0371		M0,M+H+	192.16	200.92	1	168822841	1.0	0.85	55	8	31505539	8896918	8344411	10567488	20144492	30488967	30534878	28300374
F6	150.9978	149.65	1630	C3H3F3O2	singleton	147.79	153.1	387	4748541	1.0	0.99	714	4	1264368	0	0	0	0	1134894	1266462	1085707
F7	84.0808	129.52	kp4_83.0735		M0,M+H+	126.09	134.14	2	33239848	1.0	0.92	32	8	3605623	3876308	4956308	5571413	5738826	3562333	3256920	3194580
F9	84.0808	228.41	kp5_83.0735		M0,M+H+	223.91	232.91	2	101063770	1.0	0.93	34	8	5760663	21326425	20249296	18505246	18044634	6736338	6028273	6259698
F10	84.9112	140.61	1632	Rb	singleton	137.22	144.79	3	19392709	1.0	0.95	2794	8	2309461	2327218	2307391	2325516	2206086	2491726	2258420	2390432
F12	151.0616	65.54	_singleton_1633	C6H6N4O	singleton	61.8	68.51	388	10462697	1.0	0.92	24	8	1429158	1139811	971744	1128466	1228619	1455095	1575916	1610632
F17	85.0284	94.15	_singleton_1637	C4H4O2	singleton	91.87	95.32	5	941349	0.83	0.85	19	8	131167	77601	106456	91553	110863	117981	129566	151143
F18	85.0284	136.83	_singleton_1638	C4H4O2	singleton	134.14	137.98	5	2092634	1.0	0.99	15	8	316656	66635	253788	236899	272591	351486	301914	278273
F19	85.0284	160.0	kp1229_84.0211		M0,M+H+	156.58	164.57	5	56632542	1.0	0.97	553	8	5783923	8407035	8277236	7987076	7212252	6164669	5532261	5721389
F20	85.0284	174.19	_singleton_1639	C4H4O2	singleton	171.88	178.05	5	2096889	0.92	0.83	21	8	88161	503115	452623	428286	354254	81220	97346	108884
F21	85.0284	182.66	_singleton_1640	C4H4O2	singleton	180.36	187.18	5	6186333	1.0	0.84	65	8	724610	1039429	836551	689636	676299	870178	693923	753777
F22	85.0284	196.72	1641	C4H4O2	singleton	194.46	200.92	5	2733026	0.91	0.87	24	8	586733	120513	134549	181701	169837	460318	546574	530194
F25	151.0866	18.38	kp1230_109.0528		M0,M+H+	17.26	22.58	389	19811474	1.0	0.96	62	8	3255743	1974753	2196880	2194339	2125693	2848780	3078952	2638776
F30	86.06	37.17	_singleton_1647	C4H7NO	singleton	32.55	41.82	8	22457841	1.0	0.99	45	8	2711168	2680754	3754521	3449047	3116657	2642881	2695416	2576481
